Cyl	Disp	HP	Weight	Accel	Year	Country	MPG
4	114	91	2582	14	73	Europe	20
4	121	112	2868	15	73	Europe	19
4	121	110	2660	14	73	Europe	24
4	98	83	2219	16	74	Europe	29
4	79	67	1963	15	74	Europe	26
4	97	78	2300	14	74	Europe	26
4	90	75	2108	15	74	Europe	24
4	116	75	2246	14	74	Europe	26
4	79	67	2000	16	74	Europe	31
4	90	71	2223	16	75	Europe	25
4	90	70	1937	14	75	Europe	29
4	115	95	2694	15	75	Europe	23
4	120	88	2957	17	75	Europe	23
4	121	98	2945	14	75	Europe	22
4	121	115	2671	13	75	Europe	25
4	107	86	2464	15	76	Europe	28
4	116	81	2220	17	76	Europe	25
4	101	83	2202	15	76	Europe	27
4	90	70	1937	14	76	Europe	29
4	97	71	1825	12	76	Europe	29
4	130	102	3150	15	76	Europe	20
4	120	88	3270	21	76	Europe	19
6	168	120	3820	16	76	Europe	16
4	79	58	1825	18	77	Europe	36
4	97	78	1940	14	77	Europe	29
4	97	78	2190	14	77	Europe	30
4	121	110	2600	13	77	Europe	21
4	90	48	1985	21	78	Europe	43
5	131	103	2830	16	78	Europe	20
6	163	125	3140	13	78	Europe	17
4	121	115	2795	15	78	Europe	21
6	163	133	3410	16	78	Europe	16
4	89	71	1990	15	78	Europe	31
4	89	71	1925	14	79	Europe	31
5	183	77	3530	20	79	Europe	25
4	141	71	3190	25	79	Europe	27
4	91	69	2130	15	79	Europe	37
4	98	76	2144	15	80	Europe	41
4	97	78	2188	16	80	Europe	34
4	90	48	2085	21	80	Europe	44
4	90	48	2335	24	80	Europe	43
5	121	67	2950	20	80	Europe	36
4	146	67	3250	22	80	Europe	30
4	89	62	1845	15	80	Europe	30
4	122	88	2500	15	80	Europe	35
4	105	74	2190	14	81	Europe	33
4	141	80	3230	20	81	Europe	28
6	145	76	3160	19	81	Europe	30
4	105	74	1980	15	82	Europe	36
4	97	52	2130	24	82	Europe	44
8	307	130	3504	12	70	US	18
8	350	165	3693	11	70	US	15
8	318	150	3436	11	70	US	18
8	304	150	3433	12	70	US	16
8	302	140	3449	10	70	US	17
8	429	198	4341	10	70	US	15
8	454	220	4354	9	70	US	14
8	440	215	4312	8	70	US	14
8	455	225	4425	10	70	US	14
8	390	190	3850	8	70	US	15
8	383	170	3563	10	70	US	15
8	340	160	3609	8	70	US	14
8	400	150	3761	9	70	US	15
8	455	225	3086	10	70	US	14
6	198	95	2833	15	70	US	22
6	199	97	2774	15	70	US	18
6	200	85	2587	16	70	US	21
6	199	90	2648	15	70	US	21
8	360	215	4615	14	70	US	10
8	307	200	4376	15	70	US	10
8	318	210	4382	13	70	US	11
8	304	193	4732	18	70	US	9
4	140	90	2264	15	71	US	28
6	232	100	2634	13	71	US	19
6	225	105	3439	15	71	US	16
6	250	100	3329	15	71	US	17
6	250	88	3302	15	71	US	19
6	232	100	3288	15	71	US	18
8	350	165	4209	12	71	US	14
8	400	175	4464	11	71	US	14
8	351	153	4154	13	71	US	14
8	318	150	4096	13	71	US	14
8	383	180	4955	11	71	US	12
8	400	170	4746	12	71	US	13
8	400	175	5140	12	71	US	13
6	258	110	2962	13	71	US	18
4	140	72	2408	19	71	US	22
6	250	100	3282	15	71	US	19
6	250	88	3139	14	71	US	18
4	122	86	2220	14	71	US	23
4	91	70	1955	20	71	US	26
4	97	80	2126	17	72	US	25
4	140	90	2408	19	72	US	20
4	122	86	2226	16	72	US	21
8	350	165	4274	12	72	US	13
8	400	175	4385	12	72	US	14
8	318	150	4135	13	72	US	15
8	351	153	4129	13	72	US	14
8	304	150	3672	11	72	US	17
8	429	208	4633	11	72	US	11
8	350	155	4502	13	72	US	13
8	350	160	4456	13	72	US	12
8	400	190	4422	12	72	US	13
8	304	150	3892	12	72	US	15
8	307	130	4098	14	72	US	13
8	302	140	4294	16	72	US	13
8	318	150	4077	14	72	US	14
4	122	86	2395	16	72	US	22
4	98	80	2164	15	72	US	28
8	350	175	4100	13	73	US	13
8	304	150	3672	11	73	US	14
8	350	145	3988	13	73	US	13
8	302	137	4042	14	73	US	14
8	318	150	3777	12	73	US	15
8	429	198	4952	11	73	US	12
8	400	150	4464	12	73	US	13
8	351	158	4363	13	73	US	13
8	318	150	4237	14	73	US	14
8	440	215	4735	11	73	US	13
8	455	225	4951	11	73	US	12
8	360	175	3821	11	73	US	13
6	225	105	3121	16	73	US	18
6	250	100	3278	18	73	US	16
6	232	100	2945	16	73	US	18
6	250	88	3021	16	73	US	18
6	198	95	2904	16	73	US	23
8	400	150	4997	14	73	US	11
8	400	167	4906	12	73	US	12
8	360	170	4654	13	73	US	13
8	350	180	4499	12	73	US	12
6	232	100	2789	15	73	US	18
4	140	72	2401	19	73	US	21
4	122	85	2310	18	73	US	19
6	155	107	2472	14	73	US	21
8	350	145	4082	13	73	US	15
8	400	230	4278	9	73	US	16
8	318	150	3399	11	73	US	15
8	350	180	3664	11	73	US	11
6	198	95	3102	16	74	US	20
6	232	100	2901	16	74	US	19
6	250	100	3336	17	74	US	15
4	122	80	2451	16	74	US	26
4	140	75	2542	17	74	US	25
6	250	100	3781	17	74	US	16
6	258	110	3632	18	74	US	16
6	225	105	3613	16	74	US	18
8	302	140	4141	14	74	US	16
8	350	150	4699	14	74	US	13
8	318	150	4457	13	74	US	14
8	302	140	4638	16	74	US	14
8	304	150	4257	15	74	US	14
4	90	75	2125	14	74	US	28
6	225	95	3264	16	75	US	19
6	250	105	3459	16	75	US	18
6	250	72	3432	21	75	US	15
6	250	72	3158	19	75	US	15
8	400	170	4668	11	75	US	16
8	350	145	4440	14	75	US	15
8	318	150	4498	14	75	US	16
8	351	148	4657	13	75	US	14
6	231	110	3907	21	75	US	17
6	250	105	3897	18	75	US	16
6	258	110	3730	19	75	US	15
6	225	95	3785	19	75	US	18
6	231	110	3039	15	75	US	21
8	262	110	3221	13	75	US	20
8	302	129	3169	12	75	US	13
4	140	83	2639	17	75	US	23
6	232	100	2914	16	75	US	20
4	140	78	2592	18	75	US	23
6	171	97	2984	14	75	US	18
6	232	90	3211	17	75	US	19
4	140	92	2572	15	76	US	25
4	98	79	2255	18	76	US	26
8	305	140	4215	13	76	US	17
8	318	150	4190	13	76	US	16
8	304	120	3962	14	76	US	15
8	351	152	4215	13	76	US	14
6	225	100	3233	15	76	US	22
6	250	105	3353	14	76	US	22
6	200	81	3012	17	76	US	24
6	232	90	3085	17	76	US	22
4	85	52	2035	22	76	US	29
4	98	60	2164	22	76	US	24
6	225	100	3651	17	76	US	20
6	250	78	3574	21	76	US	18
6	250	110	3645	16	76	US	18
6	258	95	3193	18	76	US	17
4	140	72	2565	13	76	US	26
8	318	150	3940	13	76	US	13
8	350	180	4380	12	76	US	16
8	350	145	4055	12	76	US	13
8	302	130	3870	15	76	US	13
8	318	150	3755	14	76	US	13
4	111	80	2155	15	77	US	30
4	122	96	2300	15	77	US	25
8	305	145	3880	12	77	US	17
8	260	110	4060	19	77	US	17
8	318	145	4140	13	77	US	15
8	302	130	4295	14	77	US	15
6	250	110	3520	16	77	US	17
6	231	105	3425	17	77	US	20
6	225	100	3630	17	77	US	19
6	250	98	3525	19	77	US	18
8	400	180	4220	11	77	US	16
8	350	170	4165	11	77	US	15
8	400	190	4325	12	77	US	15
8	351	149	4335	14	77	US	16
4	151	88	2740	16	77	US	24
4	140	89	2755	16	77	US	25
4	98	63	2051	17	77	US	30
4	98	83	2075	16	77	US	33
4	98	66	1800	14	78	US	36
8	260	110	3365	15	78	US	20
8	318	140	3735	13	78	US	19
8	302	139	3570	13	78	US	20
6	231	105	3535	19	78	US	19
6	200	95	3155	18	78	US	20
6	200	85	2965	16	78	US	20
4	140	88	2720	15	78	US	25
6	225	100	3430	17	78	US	20
6	232	90	3210	17	78	US	19
6	231	105	3380	16	78	US	20
6	200	85	3070	17	78	US	21
6	225	110	3620	18	78	US	18
6	258	120	3410	15	78	US	18
8	305	145	3425	13	78	US	19
6	231	165	3445	13	78	US	18
8	302	139	3205	11	78	US	18
8	318	140	4080	13	78	US	17
4	98	68	2155	16	78	US	30
4	105	75	2230	14	78	US	31
4	156	105	2745	16	78	US	23
4	151	85	2855	17	78	US	24
6	231	115	3245	15	79	US	21
6	200	85	2990	18	79	US	20
4	140	88	2890	17	79	US	22
6	232	90	3265	18	79	US	20
6	225	110	3360	16	79	US	20
8	305	130	3840	15	79	US	17
8	302	129	3725	13	79	US	17
8	351	138	3955	13	79	US	16
8	318	135	3830	15	79	US	18
8	350	155	4360	14	79	US	17
8	351	142	4054	14	79	US	15
8	267	125	3605	15	79	US	19
8	360	150	3940	13	79	US	18
4	98	80	1915	14	79	US	35
4	121	80	2670	15	79	US	27
8	350	125	3900	17	79	US	23
8	260	90	3420	22	79	US	23
4	105	70	2200	13	79	US	34
